text,label,note
"退货,更换 冒充合格产品 市民于2月27日在XX市XX商场二楼XX号店铺花费120元购买了一个包，因该包的拐角被磕扁了，市民要求商家退款，商家不给市民退。希望相关部门核查情况，协调解决该店不给市民退包的问题。",1,脱敏示例 1：真实工单结构，个人信息已替换为占位符
"退赔费用,赔偿损失 在产品中以假充真、在产品中以次充好 XX市XX商场 商户名称：XX商户：XX市XX商场发生时间：8月22日消费金额：1600元问题描述：市民在该店购买一台二手“苹果12”手机。当时，商家明确告知市民手机为原装正品。使用一段时间后，市民发现该手机实际为经过拆解处理的手机。10月26日，市民前往店铺针对手机品质问题与商家协商解决方案，然而商家不仅明确拒绝履行相关处理义务，还将市民逐离店铺。主要诉求：请求相关部门针对该店铺欺诈消费者且拒绝处理售后问题进行处理。",1,脱敏示例 2：真实工单结构，个人信息已替换为占位符
退赔费用 其他投诉问题 XX市XX商场 来电内容：诉求人于2022年在XX市XX商场充值了2680元，近期多次联系商家无果，店门关闭。主要诉求：请求相关部门协调该店关门无法使用会员卡的问题。,0,脱敏示例 3：真实工单结构，个人信息已替换为占位符
退赔费用 其他投诉问题 XX市XX商场门口店铺 市民来电：5月21日下午，市民在XX市XX商场门口店铺（老板为女性、戴眼镜）内花费15元购买油面筋。当时市民询问商家该商品是否新鲜，自己需要携带至上海市。商家承诺为当天现做食品，当晚到达上海市后，市民便放置在冰箱内，次日食用时，发现商品已经长毛。主要诉求：协调解决售卖变质食品的问题。,1,脱敏示例 4：真实工单结构，个人信息已替换为占位符
退赔费用 市场调节价问题 XX市XX商场 小区名称及地址：XX市XX商场问题描述：1月9日23点54分驾驶车辆进入小区，1月12日17点01分驾驶车辆离开，离开时电子收费系统显示需要缴费27元，市民认为收费不合理。主要诉求：解决停车费收费过高的问题。,0,脱敏示例 5：真实工单结构，个人信息已替换为占位符
赔偿损失 接受服务时人身、财产安全受损害 市民家住XX市XX商场东街XX号楼XX单元XX室，近期相关部门对住户室内进行天然气改造施工，将市民房屋内墙面瓷砖破坏未恢复，且将天然气管道从厨房北侧接入（实际天然气管道应该从南侧进入、具体为什么从南侧进入才合理市民并未告知原因），并告知更换天然气气表后天然气将涨价。希望相关部门解决墙面瓷砖破坏未恢复、天然气管道未从厨房南侧接入的问题，并核实天然气换表后涨价是否合规。,0,脱敏示例 6：真实工单结构，个人信息已替换为占位符
"更换,退赔费用 食品安全 XX市XX商场 商户地址及名称：XX市XX商场事件发生时间：5月12日问题描述：市民在该处购买早点消费共计 19 元。在食用包子时，发现包子内混有沙子，不仅影响食用体验，还存在食品安全隐患。随后，市民立即向商家反映此问题，但商家未采取任何有效处理措施。主要诉求：解决该店铺售卖的包子有沙子的问题。",1,脱敏示例 7：真实工单结构，个人信息已替换为占位符
退赔费用 其他人身权利问题 宁夏回族自治区XX市 在该机构兼职上了三天班，不给结工资。,0,脱敏示例 8：真实工单结构，个人信息已替换为占位符
不执行政府指导价、政府定价的行为 位于XX市XX商场，该小区物业五一节假日期间停车收费，市民认为不合理，希望相关部门核实情况，针对该小区五一节假日停车收费的问题予以解决。,1,脱敏示例 9：真实工单结构，个人信息已替换为占位符
赔偿损失 其他投诉问题 XX市XX镇XX街 商户名称：XX商户：XX市XX镇XX街：9月6日问题描述：市民到该酒店订购大床房与单人间时，商家告知“无房间，无法订购”。随即，市民到酒店大厅休息时，工作人员直接将抱枕拿走。双方沟通过程中，商家服务态度差。主要诉求：请求相关部门协调解决该酒店商家服务态度差问题。,0,脱敏示例 10：真实工单结构，个人信息已替换为占位符
