alias,office_code,office_name,confidence,support,total,all_votes,example_registration_id
铝厂,QTX_HEXI,河西市场监管所,0.95,manual,manual,{},manual_rule
叶盛,QTX_YESHENG,叶盛市场监管所,0.9,manual,manual,{},manual_rule
大坝,QTX_DABA,大坝市场监管所,0.9,manual,manual,{},manual_rule
小坝镇,QTX_XIAOBA,小坝市场监管所,0.9,manual,manual,{},manual_rule
河东,QTX_HEDONG,河东市场监管所,0.9,manual,manual,{},manual_rule
河西,QTX_HEXI,河西市场监管所,0.9,manual,manual,{},manual_rule
瞿靖,QTX_QUJING,瞿靖市场监管所,0.9,manual,manual,{},manual_rule
裕民,QTX_YUMIN,裕民市场监管所,0.9,manual,manual,{},manual_rule
小坝,QTX_XIAOBA,小坝市场监管所,0.84,manual,manual,{},manual_rule
青铜峡小坝步行街,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024111500000042
",青铜峡市铝厂一村",QTX_HEXI,河西市场监管所,1.0,3,3,"{""河西市场监管所"": 3}",1640381002025102789360813
",青铜峡市铝厂三村",QTX_HEXI,河西市场监管所,1.0,2,2,"{""河西市场监管所"": 2}",1640381002025110179009896
CCMALL,QTX_XIAOBA,小坝市场监管所,1.0,6,6,"{""小坝市场监管所"": 6}",51640300002024120900000085
CCMALL广场,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024112500000009
CCmall,QTX_XIAOBA,小坝市场监管所,1.0,6,6,"{""小坝市场监管所"": 6}",51640300002024122700000013
cc-mall,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025120900000044
ccmall,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025081200000029
正科商业广场,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025080700000115
东大厨卫指纹锁经销部,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002025082200000014
东海足浴,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024122500000041
东盛音乐火锅,QTX_XIAOBA,小坝市场监管所,1.0,3,3,"{""小坝市场监管所"": 3}",51640300002025050400000018
丝路银庄,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025090500000022
丫丫针织馆,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025011700000058
中国黄金,QTX_YUMIN,裕民市场监管所,1.0,7,7,"{""裕民市场监管所"": 7}",51640300002024102100000020
中国黄金商户,QTX_YUMIN,裕民市场监管所,1.0,8,8,"{""裕民市场监管所"": 8}",51640300002024112200000015
中国黄金店,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024080900000010
二虎早茶牛肉面,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025123100000035
五里关火锅,QTX_XIAOBA,小坝市场监管所,1.0,6,6,"{""小坝市场监管所"": 6}",51640300002024122700000013
五里关火锅商户,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002024120200000056
五里关火锅店商户,QTX_XIAOBA,小坝市场监管所,1.0,4,4,"{""小坝市场监管所"": 4}",51640300002024120900000085
亲水湖畔小区斜对面5-8号店铺,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025063000000035
仁梓涵美甲店,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025090400000010
优美优品,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025121800000016
佰纳依人依点店商户,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002025120500000029
佳旺家私城,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024123000000019
佳美窗帘商户,QTX_YUMIN,裕民市场监管所,1.0,2,2,"{""裕民市场监管所"": 2}",51640300002024112200000003
六喜珠宝,QTX_YUMIN,裕民市场监管所,1.0,3,3,"{""裕民市场监管所"": 3}",51640300002024121100000039
兰馨苑B区南门169号商贸,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002024101014197775
兰馨苑C区南门口安康街57号商贸房,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",1640381002024073162965442
冠珠瓷砖,QTX_XIAOBA,小坝市场监管所,1.0,2,2,"{""小坝市场监管所"": 2}",51640300002025072800000055
